ThetaWC,ThetaWK,PkPa,TwetK,TwetC
40,313.15,105,314.65,41.5
40,313.15,100,313.15,40
40,313.15,95,311.75,38.6
40,313.15,90,310.15,37
40,313.15,85,308.75,35.6
36,309.15,105,310.55,37.4
36,309.15,100,309.15,36
36,309.15,95,307.65,34.5
36,309.15,90,305.95,32.8
36,309.15,85,304.35,31.2
36,309.15,80,302.55,29.4
36,309.15,75,300.65,27.5
36,309.15,70,298.75,25.6
36,309.15,14,242.25,-30.9
36,309.15,10,224.85,-48.3
32,305.15,105,306.65,33.5
32,305.15,100,305.15,32
32,305.15,95,303.55,30.4
32,305.15,90,301.95,28.8
32,305.15,85,300.15,27
32,305.15,80,298.35,25.2
32,305.15,75,296.15,23
32,305.15,70,294.15,21
32,305.15,65,291.85,18.7
32,305.15,60,289.25,16.1
32,305.15,55,286.45,13.3
32,305.15,18,241.35,-31.8
32,305.15,15,231.45,-41.7
32,305.15,13,223.15,-50
28,301.15,105,302.65,29.5
28,301.15,100,301.15,28
28,301.15,95,299.45,26.3
28,301.15,90,297.65,24.5
28,301.15,85,295.85,22.7
28,301.15,80,293.75,20.6
28,301.15,75,291.65,18.5
28,301.15,70,289.25,16.1
28,301.15,65,286.75,13.6
28,301.15,60,283.95,10.8
28,301.15,55,280.85,7.7
28,301.15,50,277.15,4
28,301.15,45,273.15,0
28,301.15,40,268.65,-4.5
28,301.15,35,263.15,-10
28,301.15,30,255.85,-17.3
28,301.15,25,246.65,-26.5
28,301.15,20,234.15,-39
28,301.15,17,224.55,-48.6
24,297.15,105,298.85,25.7
24,297.15,100,297.15,24
24,297.15,95,295.45,22.3
24,297.15,90,293.45,20.3
24,297.15,85,291.55,18.4
24,297.15,80,289.25,16.1
24,297.15,75,286.95,13.8
24,297.15,70,284.35,11.2
24,297.15,65,281.55,8.4
24,297.15,60,278.45,5.3
24,297.15,55,275.15,2
24,297.15,50,271.05,-2.1
24,297.15,45,266.25,-6.9
24,297.15,40,260.95,-12.2
24,297.15,35,254.45,-18.7
24,297.15,30,245.95,-27.2
24,297.15,25,235.45,-37.7
24,297.15,20,222.05,-51.1
20,293.15,105,294.95,21.8
20,293.15,100,293.15,20
20,293.15,95,291.35,18.2
20,293.15,90,289.15,16
20,293.15,85,287.05,13.9
20,293.15,80,284.55,11.4
20,293.15,75,282.05,8.9
20,293.15,70,279.25,6.1
20,293.15,65,276.15,3
20,293.15,60,272.75,-0.4
20,293.15,55,268.85,-4.3
20,293.15,50,264.35,-8.8
20,293.15,45,259.15,-14
20,293.15,40,253.05,-20.1
20,293.15,35,245.55,-27.6
20,293.15,30,236.15,-37
20,293.15,25,224.65,-48.5
16,289.15,105,290.95,17.8
16,289.15,100,289.15,16
16,289.15,95,287.15,14
16,289.15,90,284.95,11.8
16,289.15,85,282.55,9.4
16,289.15,80,280.05,6.9
16,289.15,75,277.15,4
16,289.15,70,274.15,1
16,289.15,65,270.65,-2.5
16,289.15,60,266.85,-6.3
16,289.15,55,262.55,-10.6
16,289.15,50,257.55,-15.6
16,289.15,45,251.85,-21.3
16,289.15,40,245.05,-28.1
16,289.15,35,236.55,-36.6
16,289.15,30,227.15,-46
12,285.15,105,287.15,14
12,285.15,100,285.15,12
12,285.15,95,282.95,9.8
12,285.15,90,280.65,7.5
12,285.15,85,278.15,5
12,285.15,80,275.15,2
12,285.15,75,272.15,-1
12,285.15,70,268.75,-4.4
12,285.15,65,264.95,-8.2
12,285.15,60,260.85,-12.3
12,285.15,55,256.05,-17.1
12,285.15,50,250.55,-22.6
12,285.15,45,244.35,-28.8
12,285.15,40,237.15,-36
12,285.15,35,228.85,-44.3
12,285.15,30,219.45,-53.7
8,281.15,105,283.35,10.2
8,281.15,100,281.15,8
8,281.15,95,278.75,5.6
8,281.15,90,276.15,3
8,281.15,85,273.35,0.2
8,281.15,80,269.45,-3.7
8,281.15,75,267.15,-6
8,281.15,70,263.45,-9.7
8,281.15,65,259.55,-13.6
8,281.15,60,255.15,-18
8,281.15,55,249.85,-23.3
8,281.15,50,244.15,-29
8,281.15,45,237.55,-35.6
8,281.15,40,230.15,-43
8,281.15,35,221.95,-51.2
4,277.15,105,278.45,5.3
4,277.15,100,277.15,4
4,277.15,95,274.55,1.4
4,277.15,90,271.85,-1.3
4,277.15,85,268.85,-4.3
4,277.15,80,265.75,-7.4
4,277.15,75,262.15,-11
4,277.15,70,258.25,-14.9
4,277.15,65,253.95,-19.2
4,277.15,60,249.25,-23.9
4,277.15,55,243.75,-29.4
4,277.15,50,237.95,-35.2
4,277.15,45,231.25,-41.9
4,277.15,40,223.95,-49.2
0,273.15,105,275.55,2.4
0,273.15,100,273.15,0
0,273.15,95,270.35,-2.8
0,273.15,90,267.55,-5.6
0,273.15,85,264.25,-8.9
